Reviewer Name,Review Text,Star Given,Publish Date
Prabu Yudhistiro,,5,2024-05-19T13:18:54.453Z
Flor B-A,,4,2024-05-14T16:22:16.553Z
Zulfan Affandi,,5,2024-05-06T05:57:11.918Z
makoto kataigi,,5,2024-05-03T01:38:59.744Z
Iskandar Zulkarnain,"Untuk pertama kalinya saya melihat sendratari ramayana di purawisata. Selebihnya saya sering melihat di tempat lain. Sanggar tari yg pentas senin 22 april 2024 sangat mengecewakan. Penarinya gak ada semangat, greget, lemes dan tidak menjiwai peran tokohnya. Saya cukup nonton sampai kidang kencana di tangkap. Karena performnya sangat tidak menarik. Mungkin utk manca tidak terlalu ambil pusing. Tapi mana tau kalo diantara mereka adalah pemerhati budaya pasti akan melihat sesuatu yg kurang.
Semoga sanggar yg bermain bisa menyuguhkan performa yang lebih berkualitas.
Terimakasih",2,2024-04-23T02:06:13.107Z
marlin dwi sulandari,Amazing sendratari,5,2024-04-13T14:09:53.072Z
Chen Thong Kent,Traditional arts done right. Interesting with some modern flair sprinkled in.,5,2024-03-29T15:19:10.219Z
12. Helmy Mustafa assyarif,,5,2024-03-22T10:49:09.465Z
Emma N. Lyla,,4,2024-03-21T17:34:04.281Z
Masayuki Ogima,"素晴らしい演劇を見せてもらった。
インドの物語たが、舞踊はインドネシア独特のもの。",5,2024-03-18T16:11:58.304Z
Jacques Heijnders,,4,2024-03-18T14:38:31.297Z
Khafisah Zanuba,waw it was so amazing!! minimal sekali seumur hidup kalo ke jogja mampir buat nonton ini!!,5,2024-03-16T22:46:46.562Z
Putry Mega,"It was so amazing experience to saw this show.
The culture and place was so great😍",5,2024-03-05T08:59:18.848Z
Eddy Susanto,Spektakuler asli apinya,5,2024-03-04T07:07:58.256Z
gin kristo,"Tempat nya luas,bersih,nyaman,cocok untuk acara kesenian daerah.",3,2024-02-26T23:40:02.221Z
Arman Yahya,Night out to understand the Japanese culture during the Hindu and Buddhism Era,5,2024-02-25T15:46:04.000Z
Estinho Esta,"Pertunjukannya seru dan lightingnya bagus...
Di akhir acara ada sesi foto bareng pemeran.. Pemerannya ramah dan asyik diajak foto..",5,2024-02-25T03:19:47.008Z
Anita Agustina,,5,2024-02-24T22:29:23.399Z
Riswan R,Bagus buat hiburan keluarga,5,2024-02-21T21:54:27.599Z
Aditya Rifqi hamizan,Atribut berlogo paten,5,2024-02-15T08:55:16.493Z
Rohan Mahajan,,5,2024-02-14T11:03:40.059Z
Yungki Triatakusuma,Acaranya bagus banget ...tapi bagi yg paham bahasa Jawa aja ...,5,2024-02-12T05:43:44.163Z
ruli muttaqin,"Namanya sama dengan yang di Prambanan, udah beli tiket ngebut sampai Prambanan ehh salah tempat....hamzong",1,2024-02-10T11:55:50.581Z
Annisa Mahardika,,5,2024-02-10T02:21:48.870Z
Rina Meimuna,"Pengalaman yang seru dan menyenangkan 👍
Keren banget
Saya dan keluarga sangat suka dengan penampilan semua pemain terutama momen Hanoman Obong 🔥🔥🔥",5,2024-02-09T14:57:23.325Z
Annisa Febrianti,,5,2024-02-07T20:37:53.738Z
Obe Handaya,,5,2024-02-07T06:15:33.615Z
Encues Suhadi,Ngopi,5,2024-02-01T05:10:48.049Z
Budi Santoso,Tempatnya nyaman untuk melihat secara langsung aneka seni dan budaya,4,2024-02-01T04:20:57.957Z
Arjuna Ramadani,"Gedung serba guna ..buat pentas seni...
Cucok buat ngadem fikiran ..
Buat main keluarga....",5,2024-01-29T01:40:05.542Z
Abdur Rauuf,Melestarikan budaya,5,2024-01-25T03:12:35.994Z
Halida Yanti,"Pertunjukannya spektakuler, meriah dan menghibur sekali, penonton puas dan terkagum-kagum",5,2024-01-11T04:39:56.628Z
Sean 5,"gapernah bosan main ksini, selalu ramai",5,2024-01-11T04:35:51.861Z
Ani Rustini,"Tempatnya bagus banget, harga tiket nya juga ramah di kantong.Pertunjukannya bagus banget, ada plot twist ketika di pertengahan cerita, pemainnya luwes banget ketika menari, suara sinden nya juga merdu",5,2024-01-11T04:33:13.994Z
I A S D Y (day),"The place is spacious and there's also a cafe. You can purchase packages that include dinner or just tickets for the show. The talent, lighting, andbthe storyline are awesome! My favorite is Hanoman, the character is very funny and brave!

I think if the seating area is renovated and upgraded, it would be much more enjoyable.",5,2024-01-10T02:33:35.619Z
Levi Kann,,4,2024-01-04T19:10:22.867Z
Rommy,"Pertunjukannya bagus banget, ada plot twist ketika di pertengahan cerita, pemainnya luwes banget ketika menari, suara sinden nya juga merdu, petugas juga ramah luar biasa, sangat worth it dengan tiket masuk yang dibayarkan",5,2024-01-04T00:18:18.335Z
Raj C,,4,2023-12-26T05:07:13.137Z
Dylan 123,,5,2023-12-24T02:43:03.569Z
Budi Respati,Namanya knp mirip dgn yg di candi prambanan? Dan kt penyelenggara di prambanan sdh bnyk yg salah beli tiket (online) akibat kesamaan nama ini.,1,2023-12-23T12:02:42.689Z
Dyan Ibrahim,Panggung pertunjukan seni bergaya semi outdoor.. pertunjukan Ramayana ballet versi murah tapi bagus,5,2023-12-23T02:21:11.184Z
Mega Mommy Queen,,5,2023-12-21T10:40:51.295Z
Sholi Qomaddatun,,5,2023-12-19T06:27:26.180Z
HAVID DENI HARJANTO,,5,2023-12-14T12:58:58.441Z
Nabila Atsil,,5,2023-12-07T22:21:21.044Z
punam dixit,Splendid,5,2023-12-05T16:42:44.926Z
wiwin priyanto,,5,2023-12-05T12:34:20.125Z
erwin tantomo,"Tempatnya teduh,cocok untuk teater.untuk parkir jika pengunjung banyak,sedikit crowded,tapi masih bisa tertampung.",5,2023-12-05T07:05:09.218Z
Rian se,"Traditional javanesse dance,nice to see",5,2023-12-04T09:12:26.108Z
Daily Dopa,,5,2023-12-03T11:36:19.071Z
tatt c,"the show is alright, terribly uncomfortable seating...i would go watch the show at prambanan temple instead.....music....ting ting dong....dongg....sleepy",3,2023-12-01T07:50:32.501Z
Zahira Tri Dara Maolana,,5,2023-12-01T06:02:20.423Z
Grzegorz Wierzbicki,"Przepiękny spektakl, na wstępie rozdają krótki opis jest dostępny w języku polskim",5,2023-11-24T14:53:03.635Z
Febri wibowo Panggih,Good,5,2023-11-22T15:29:32.950Z
Rif'atun Ni'mah,Mudah dan tidak antri klo mo beli emas,5,2023-11-21T05:21:10.480Z
R Bambang Irianto P Gojek,"Sip
Apik",5,2023-11-20T05:36:10.789Z
Hengky Kurniawan,,5,2023-11-15T14:04:04.127Z
Beni Susilo Wardoyo,,5,2023-11-08T14:51:53.566Z
Elena,"Me gustó mucho la representación. Duración aproximada de 1.30h. Tienes la opción de cenar antes en el mismo sitio, tipo buffet (aunque nosotros cenamos al salir en otro establecimiento, así que no se como estaba la comida). Antes de entrar te regalan una pequeña botella de agua y la obra escrita en papel en tu idioma, lo cual se agradece muchísimo para poder entenderlo todo! Lo recomiendo",5,2023-10-21T09:25:48.292Z
Eri bian,Tempat pertunjukan yg recommended,5,2023-10-14T23:17:19.741Z
Grietje Hiemstra,,5,2023-10-14T20:09:07.337Z
Robert van Domburg Scipio,Lekker eten en dan naar een prachtige dansvoorstelling. Soort Romeo en Julia maar dan met een goede afloop.,4,2023-10-09T15:34:32.783Z
Cornelia Putri,"Walaupun terlambat 30 menit, tapi crew nya bilang masih boleh ikut masuk.. Experience baru setelah beberapa kali nonton Sendratari Ramayana di Candi Prambanan. Aura sama spiritnya dapet. 🥰🥰

Parkiran luas, tempat makannya out door dan luas.. Karena malam, jadinya kurang explore lokasi sih.. Semoga bisa ke sini lagi dan nyobain dinner di sini. 🥰",5,2023-10-08T11:45:55.871Z
Lukman R,"Pertama kali lihat langsung kagum,Baguss banget semua fasilitas lengkap, cantik bangett yg jadi roro jonggrang. Kalo jalan2 ke jogja lagi semoga berkesempatan bisa nonton lagi. Setiap malam sabtu",5,2023-10-04T06:18:08.049Z
Jan Pot,Prima optreden,4,2023-09-30T12:44:30.304Z
Louisa Yue-Chan,Visually stunning live performance. Complex plot.,4,2023-09-24T14:07:30.640Z
wana_ pustaka PUSTAKALOKA,"Kesini bareng rombongan. Trip hari pertama di malam hari kesini,menyaksikan ""opera"" yang sudah masyhur kisahnya,Ramayana.Sudah pasti ada Rama,Sinta dan Hanoman sebagai tokoh sentral.Seru,lightingnya juga bagus,pertunjukannya jadi lebih dramatis.Di tengah kisah,ada selipan atraksi api.Seni tradisional,kisah klasik,kalo bisa dikemas dengan epik seperti ini jadi pertunjukan yang menarik.Waktu kesini,banyak wisatawan mancanegara yang hadir,mereka antusias banget dengan pertunjukan seni budaya seperti ini.Keren,sepertinya para penari,pemain gamelan sekarang sudah banyak dari anak muda,sudah ada regenerasi menjaga budaya lokal.",5,2023-09-23T14:49:32.014Z
Wolter,,4,2023-09-20T14:24:49.998Z
Alvian,,5,2023-09-18T07:48:59.428Z
steve benzion,Excellent,5,2023-09-06T16:06:49.873Z
Erny Ambarwati,,5,2023-09-06T03:17:07.928Z
Pete Walton,,5,2023-09-06T00:58:21.241Z
Ansor Syaputra,,5,2023-09-04T00:15:58.785Z
m mukhlisul Imtikhan,Good,5,2023-09-02T06:49:49.539Z
Yadi Saryadi,,1,2023-08-31T00:05:09.198Z
sunu purniadi,,3,2023-08-28T05:27:31.521Z
Bayu K W,"Ramayana ballet, the long story of ramayana being compacted into 2 hours show without losing it essential story.",5,2023-08-20T16:03:01.932Z
Romana F.,"Man darf sich kein Ballett erwarten, wie man es heute in Opernhäusern bewundern kann.

Dieses traditionelle Ballett ist eine Tanzkunst mehrere hundert Jahre alt. Es empfiehlt sich den Inhalt zuvor durchzulesen damit man weiß worum es sich handelt. (Die Übersetzung vor Ort sind leider sehr schwer verständlich und gekürzt, so dass der Sinn teils verloren geht).

Leider sind manche Touristengruppen sehr undiszipliniert und stehen während der Vorstellung auf, sind laut etc. Am meisten stören allerdings die Guides dieser Touren welche in der letzten Reihe sitzen und sich lautstark unterhalten - nach einer kleinen Beschwerde waren jedoch auch diese endlich ruhig.",4,2023-08-19T11:08:50.412Z
Susanto,"Datang ke-2 kali untuk melihat ulang Ramayana Ballet. Kebetulan ternyata tepat HUT nya Ramayana Ballet yg ke-47 dapat kejutan diskon tiket 47%, alhamdulillah. Dibanding dulu, kali ini pertunjukan lebih atraktif, pada saat adegan Alengka diobong diberi kejutan atraksi kembang api menambah meriah kebakarannya. Secara umum tarian, gamelan, lighting, sound sangat bagus. Mungkin regenerasi kru (pemeran, yoga, sinden) perlu dipikirkan. Best experience selalu menunggu nunggu si Kijang Kencana yg super lincah, nggemesi. Dan Jatayu yg atraktif.... Sukses untuk Ramayana Ballet. Semoga Sang pimpinan (pak Dayana / kalo tdk salah dengar) senantiasa diberikan kesehatan....",5,2023-08-11T07:12:29.585Z
Ei_bih 08,Bagus sekali untuk pengunjung wisatawan dari luar daerah yang ingin menikmati wisata budaya,5,2023-08-10T10:57:22.249Z
rui wili,,5,2023-08-10T02:45:44.243Z
Eka Hardiyansya,,5,2023-08-07T09:47:33.140Z
Dadan Suhendar,Budaya yg patut di lestarikan,5,2023-08-06T17:25:06.834Z
Zilvy Octavianie,Budaya jawa emang mantab,5,2023-07-29T19:43:04.302Z
Niko satriawan wijatmiko,,5,2023-07-29T03:54:01.759Z
chia rizki,Acaranya sangat menarik,5,2023-07-16T11:35:49.433Z
fitriana nuhad,,5,2023-07-09T14:52:06.264Z
R . Ahmed Harir Muzakki,"1.Bagus
2.bagus
3.bagus

kurang yakin hati hati anak nakal ---- anak laki laki harus Kemaki , anak perempuan harus Kemayu ,
dolan mampir / sekedar studywisata pelajar , wahana selalu asyiik , yang penting semua bersemangat antusias tinggi , kalau ga kepo , berarti asyik main gadget , selfie (khusus punya teman)

harap masuk berdoa dulu,
takutnya berkeliaran, licin jatuh , suka menyanyi nyanyi , belum bisa bikin lagu

buat apa nyanyi kalau ga dikasih duit ,
mending dongeng aja, biar pada ngantuk

jika kebanyakan makan,di malam hari

bakal susah tidur ,

Semoga tambah jaya , hafal spot , spot favorit wahana tambahin , Kebutuhan rakyat meningkat , wisata online bertambah, lokasi pun sepi, kasihan",3,2023-07-08T01:17:43.137Z
sazman rahadi,,5,2023-06-26T04:58:20.742Z
Muhammad Thoyyib,,4,2023-06-21T13:03:48.752Z
Firdaus Kurniawan Haqni,,4,2023-06-12T13:36:12.287Z
Srinivasa Lahiri Chavali,"One of the good places to watch Ramayana. Very less crowd and good performance by dancers and singers. It's expensive though - IDR 300,000. They've a show at 7pm. (One less star only due to the price)",4,2023-06-11T13:53:46.434Z
Martinus Bayu Kurdiantara,Kesan pertama untuk teater cukup representatif.. Pencahayaan lmyn hanya ornamen panggung agak minimalis alangkah baiknya ditambahi ornamen agar semakin baik ke depannya. Kalau akses pintu keluar masuk hanya satu akses saja jd harus sabar dalam. Mengantri,4,2023-06-09T06:09:15.092Z
Diyah Sari,,4,2023-06-06T15:25:07.899Z
Heben Ezer,,5,2023-06-01T04:46:09.968Z
Jakub Duchon,"Mixed feelings. We read a sum-up of the story before seeing the performance but left confused. Before the ballet started, an announcer was quickly explaining the story and introducing characters but because of her pronunciation, we couldn't understand much of what was she saying. We were trying to pick up the storyline but ended up confused and didn't enjoy the performance as much. The show itself was good but don't think it's worth of 20€ ticket.",3,2023-05-28T12:26:08.380Z
BISWAJIT BOSE,"Loved the Ramayana Ballet. Nicely performed, must watch specially if you are traveling with your family & children. All will enjoy this.",5,2023-05-28T05:58:38.951Z
Indri Ans,Tempat yg nyaman untuk Nonton sendratari ramayana secara indoor,5,2023-05-27T13:54:12.337Z
Rai Sultan queensya,,5,2023-05-22T09:53:19.265Z
Yuni Astuti,Cocok untuk pementasan... Kapasitas kursi 600... Panggung lumayan luas. Tanpa AC..karena bagian atap ada yg terbuka. Tersedia bbrp kipas angin di atas dan mini AC di dua sudut.,4,2023-05-13T06:44:00.728Z
galis chrysan,Menarik dan bagus bangt pertunjukannya,5,2023-04-21T00:30:34.702Z
Hendy Outsider,,4,2023-04-12T04:12:42.678Z
Akhmad Riadi Maridin,Tempat pengeluaran seni,5,2023-03-25T12:19:32.072Z
dimitrios katsantonis,Ωραία παράσταση. Αναφέρεται στην ζωή του ramanaya και της sibha. Λιγοπ τουριστικό για μένα.,3,2023-03-13T02:10:15.269Z
Wisnu Wage,"pertunjukan keren, makan malam lengkap dan enak. semoga terus lestari tempatnya dan pertunjukannya.",5,2023-03-11T15:40:19.753Z
Hamam Rohmatulloh,,5,2023-02-24T03:45:19.355Z
zahranita,,5,2023-02-17T13:50:40.968Z
Sylwia Głowska,Bardzo fajne przedstawienie. Warto zobaczyć,5,2023-02-17T06:07:40.403Z
seeun jang,"I really enjoyed Indonesian traditional ballet performance. The story is very famous so it must be better search and read stories before you arrive here. Location is good if you stay at downtown, stage and seats are also clean and good.",5,2023-02-08T14:13:36.394Z
ES Beno Manggala putra,Tempat nonton ramayana ter baik si gak akan kehujanan,5,2023-01-28T10:00:48.384Z
Setiya Puji Wijaya,"Pertunjukannya bagus, bukan kaleng kaleng",5,2023-01-16T16:56:14.712Z
intan dwi,Salah satu tempat pertunjukkan sendratari,5,2023-01-15T01:41:06.332Z
Nisa RD,"Beli tiket melalui traveloka, yang sepaket sama dinner, sangat puas, makanan enak2, show nya sangat menarik, cerita nya cukup jelas dan ada penjelasan dalam bahasa inggris juga, staff nya ramah2, bonus bisa berfoto sama dancer nya",5,2023-01-10T01:37:41.490Z
Davina Eccita Pratiwi,,5,2023-01-06T00:21:40.728Z
Ratu Rikfi Ismuha,,5,2023-01-01T11:17:31.033Z
Hasna Nur,,5,2022-12-25T14:56:51.206Z
yudhi primasatyo,,5,2022-12-23T08:07:20.106Z
mursie,,5,2022-12-17T07:26:03.364Z
Siti Jogja,,5,2022-12-09T13:31:40.877Z
rachmad tri,,5,2022-12-07T04:40:04.625Z
Ridwan Akbar,Mantap,3,2022-11-25T05:11:47.882Z
Kopi Si Ndoro,Very nice cultural show.,5,2022-11-16T08:39:17.216Z
ihda azemi,,5,2022-11-08T21:46:15.117Z
matthew sayles,Wow. We loved this ballet show. Great to gain a bit of culture after the trek from dirty Jakarta to here. The troup are doing a fantastic job in their rendition of the historical story. Well done Mandira Baruga!!,5,2022-10-21T16:06:24.443Z
Charmaine V,"Performance of the Ramayana ballet started on time at 7:30pm. It wasn't crowded.

There was live music and lighting effects for the show. Overall performance was okay. The children artists were entertaining with their acrobatic effort. Small fireworks were used to depict conflict in the story which could get rather loud for babies or very small children.

Seating is in a amphitheatre with no back rest but a thin cushion is provided for a base. It gets a bit uncomfortable as the performance is an hour and a half.",3,2022-10-21T00:29:54.788Z
irawan satmoko,,5,2022-10-02T14:11:21.653Z
Yovita A. P Hamid,Pertunjukan Tari Ramayana,4,2022-09-22T15:00:00.429Z
dinda isnaini,Bagus,5,2022-08-30T12:00:43.034Z
istyawan priyahapsara,An action pact traditonal dance show of ramayana in the city central of yogya.,5,2022-08-28T04:04:49.584Z
HEROazka Billah,,3,2022-08-22T11:38:56.080Z
Bernadus Bagus,,5,2022-08-17T12:57:39.685Z
Arya Danendra,Good Wedding Venue.,5,2022-08-13T13:42:36.276Z
InterGalacticWood,Good Wedding Place.,5,2022-08-13T12:50:02.856Z
Nurdin Buatan,"Tiket masuk 150rbu,  pentas Balet Ramayana di sini sangat spektakuler ada atraksi bakar2",5,2022-08-10T12:15:22.910Z
eko purwadi,,1,2022-07-24T05:48:37.386Z
Véronique Poitras,Food is good (buffet) and the show also. If you like ballet it’s a must.,4,2022-07-18T04:18:01.743Z
Priscila Triviana Dewi,Hotel Tasneem Istimewa,5,2022-07-13T12:51:11.444Z
May Ha,Layat di dekat Purawisata,5,2022-07-13T10:34:42.437Z
D'Journey Chanel,Lokasi yang Cocok untuk acara gala diner,5,2022-07-10T17:15:14.229Z
monica kris,Keren,5,2022-07-01T09:05:26.424Z
Sahabuddin Nur,"Murah, bagus dan highly recommend.",5,2022-06-28T15:17:41.889Z
mumu bella,Cerita Ramayana tentang Rama dan Shinta di sajikan dengan adegan yang sangat mudah di mengerti dengan koreografi yg apik di tambah efek lighting dan sound yang menjadikan pertunjukan menjadi lebih hidup!,5,2022-06-26T06:58:00.687Z
DEDIK YUDI RAHARJO,Lumayan,4,2022-06-15T04:04:20.637Z
Duta Besar,"Sendratari, ballet, entertainment dipadukan jadi satu.
Excellent show",5,2022-06-14T07:41:32.647Z
Gea Wietsma-De Boer,Schitterend.,5,2022-06-11T07:22:40.024Z
Kisarnuji Kisarnuji,"Tradisional dance , elegant",5,2022-05-30T05:54:45.109Z
Lelaki Langit Lelanang Jagad,,5,2022-05-28T07:04:37.243Z
Tuan Encik,Bagus,5,2022-05-22T05:13:41.224Z
高柏偉,"Ramayana與Mahabharata是印度歷史上最重要的兩篇史詩，全世界的印度寺廟中，

其雕刻大多是以此兩篇為主，史詩中的故事不外乎是夫妻情愛、正邪不兩立的故事；

在千年前的印度社會中，即以梵文敘述成詩的巨作，數量比荷馬史詩還來得多，可見其重量程度。這些流傳下來的文化，

並影響了整各印度社群的生活態度與價值觀；而且利用戲劇舞蹈的表現，令人更能入戲。

曾經我也想買書自己看這篇史詩巨作，但實在是無法看下去，如果真的對這史詩有興趣，看了這場戲，會讓人更了解故事內容。",5,2022-05-13T17:18:09.620Z
Hendri Wicaksono,,5,2022-05-10T03:33:54.861Z
Supardi Abu Nashir,,5,2022-05-07T22:12:44.136Z
Ika Maulid Nur Ahmad,,5,2022-03-25T14:11:28.533Z
nurvitria dr,"Sekeren itu pentas balet ramayananya🤩
Tempatnya bersih. Di tengah kota yogyakarta pula. Ada restonya juga. Makanannya lumayan lezat kok.",5,2022-03-24T06:58:42.133Z
maylafaya 318,,5,2022-03-24T05:05:57.303Z
Hendra Oktavianto,"Nice place to watch Ramayana, in rainy season (indoor theater)",5,2022-03-23T23:38:21.880Z
Diah Rahmawati Kurniah,,4,2022-03-18T20:40:59.876Z
k pyon,"夕食付きのチケットを予約して楽しみました。食事は演奏しているブースの横での一人飯で、現地料理をたらふく食べ、ショーも大満足です。
行きはマリオボロ通りからおっちゃんにトゥクトゥクで運んで貰いました。ホテルへの帰りは、意外にグラブがすぐに捕まりました。最後に演者達と写真が撮れますが、無法地帯で順番など無く、日本人らしく悠長に並んでいると日が暮れます。ガツガツ行かないとだめです。",5,2022-03-15T06:54:08.320Z
joshua avinanto,,5,2022-03-12T23:28:27.895Z
idopati tanaya wicaksana radite,,5,2022-03-10T12:14:12.115Z
Samudra Rio,"tempat ini bagus dan letak strategis , menyimpan   seni pertunjukan yang megah",3,2022-03-07T10:35:29.142Z
Jamilludin S.Sos.I,,5,2022-02-25T10:33:42.653Z
rrnaz,,5,2022-01-28T04:30:49.819Z
Eko aris Supriyono,"Untuk panggung memenuhi kriteria pertunjukan, parkir luas tempat strategis,
Coba aja dech",5,2022-01-14T02:42:21.242Z
andi kristianto,,5,2022-01-05T11:20:47.275Z
Floren 0405,"Sekarang ....banyak dikunjungi...pewisata baik d luar dan dalam...kota yogya..cuhiiuuyy
...",4,2021-12-28T07:18:19.332Z
karenina ima,,5,2021-12-14T02:52:26.865Z
Fara muharromiya,,4,2021-12-11T22:34:17.719Z
Pangsit Viral278,,5,2021-11-27T17:05:10.395Z
Evita Ramadhani,,5,2021-11-17T02:09:23.442Z
Wuri Prasetyo,Pertunjukan luar biasa,5,2021-11-14T11:55:36.131Z
Okke Hidayah Kahfi,,5,2021-11-02T21:40:35.079Z
Alfian Noor,,5,2021-10-15T00:41:53.592Z
Dwiga,,5,2021-10-12T14:40:31.925Z
Aluisia Yuyun,Wide and cozy,5,2021-10-07T11:14:12.192Z
N Baggaswara,Nice,5,2021-10-04T03:10:52.234Z
rustin suryani,,1,2021-09-27T11:23:09.547Z
Tutut H Adityatama,,4,2021-09-25T10:52:29.450Z
Nuria Hastuti,,5,2021-09-11T15:09:26.677Z
Oktadw Psprn,,5,2021-09-03T08:09:14.140Z
Su Bandi,Untuk sementara tutup,2,2021-09-02T09:12:52.575Z
Paryono,,5,2021-07-18T10:28:10.852Z
elisabeth rini,,5,2021-07-13T10:39:04.628Z
Nurus Saadah,,5,2021-07-10T17:20:41.827Z
Edy Kurniawan,,5,2021-06-20T04:52:04.432Z
Santoso Tri irianta,Tarian tradionil pentas sendratari cerita ramayana,4,2021-06-09T09:52:48.801Z
Margerithaagustina Morib,,5,2021-06-03T13:09:05.026Z
anto prihanto,Sayang nya sejak pandemi tutup...,4,2021-05-29T13:50:10.993Z
Sandy Saputra,,4,2021-05-09T10:47:48.793Z
Nur Tafsin,Buka puasa bersama di hotel Tasnem,5,2021-05-08T11:42:31.718Z
Han Wakabayashi,mau ngopi sambil liat barista cantik??cek d sini 😅,5,2021-04-29T03:50:47.497Z
Inas Lanara Kaneswari,,5,2021-04-24T08:13:55.002Z
heru budihandono,,4,2021-04-10T12:25:48.259Z
ikmali farkhanah_010,,5,2021-04-10T02:20:01.269Z
robby satrio wibowo,,5,2021-04-01T09:21:21.890Z
Danee Des,"Ingat selalu. Lomba drum band di sini.
Awal pendirian sempat mengundang polemik karena gunakan kata "" pura""",3,2021-03-30T15:47:51.411Z
Put Janadi,,5,2021-03-20T07:12:40.555Z
So Lehan,mantaaaap,5,2021-03-07T15:30:08.801Z
Desta Kharisma Sagita,,5,2021-02-12T08:49:19.956Z
Alip Suroto SST MM Par,"Tempat nyaman, alternatif kalau sendratari Ramayana tidak tersedia, satu lokasi dengan hotel, ada resto dan cafenya, representatif buat dinner. Jangan lupa prokes nya diterapkan, ada satgas covid nya.",5,2021-02-12T05:43:04.806Z
Didik S,,4,2021-02-11T12:37:02.126Z
heptarina rika yulianti,,5,2021-02-02T05:34:24.489Z
emaa ifa Ramadani,,2,2021-01-20T15:02:22.331Z
Dharmawan Febriyanto,,5,2021-01-17T11:04:45.984Z
Aniffudin Faizal Reza,"Seni dan budayanya bagus banget, harus dilestarikan seperti ini ni",4,2021-01-13T06:18:12.392Z
Meiani Ujianti,"Tempatnya strategis tengah kota, parkiran luas layanannya bagus diarahkan oleh sekuriti nya... Viewnya juga bagus untuk foto2 keluarga",4,2021-01-12T10:20:42.293Z
Haryo sunu sumantri,,4,2021-01-10T04:13:22.948Z
ARIZONA JOGJA,,5,2021-01-07T08:59:46.216Z
devi asyafani,Mampir ke sini setelah dari Bandung. Senang sekali bisa melihat pertunjukan sendratari Ramayana. Amazing banget.,5,2021-01-02T12:32:19.672Z
Vahrvl,,4,2020-12-30T13:25:04.792Z
Amanda Amandos,,5,2020-12-19T13:10:02.885Z
Gerda,"Ramayana Ballet Purawisata merupakan salah satu daya tarik wisata di Yogyakarta. Pertunjukan yang mengisahkan tentang cinta sejati Rama dan Shinta ini merupakan kombinasi menakjubkan dari penari yang telah berdedikasi selama puluhan tahun, kostum yang indah serta alunan musik gamelan yang mengiringi menjadi satu dalam panggung.

Ramayana Ballet Purawisata telah ditampilkan full story setiap malam pada pukul 20.00 - 21.30 WIB sejk tahun 1976. Pada tahun 2001, Ramayana Ballet Purawisata telah memenangkan Guinness Book of Record (MURI) atas konsistensinya melakukan pertunjukan budaya selama 29 tahun secara terus menerus. Konsistensi dalam menjaga nilai luhur budaya ini terus berlanjut, hingga pada 10 Agustus 2016 ini Ramayana Ballet Purawisata telah merayakan ulang tahun yang ke-40.

Saat ini Ramayana Ballet dipentaskan di dalam amphitheater dengan kapasitas 600 kursi. Konsep semi terbuka dari amphitheater ini memberikan kenyamanan bagi wisatawan yang akan menyaksikan pertunjukan Ramayana Ballet. Selain menyaksikan Ramayana Ballet, pengelola juga menawarkan paket makan malam istimewa di restoran yang menggabungkan suasana taman indah dengan arsitektur Jawa yang megah. Alunan musik gamelan dan tarian Jawa akan mengiringi selama waktu makan malam.",5,2020-11-16T04:28:18.348Z
Oliva Eunike,"Rekomended buat yg mau nnton Ramayana, tp dgn harga lebih terjangkau, mantapp dehhh 💯💯💯",5,2020-11-06T00:23:12.207Z
Abu Raisha,,5,2020-10-27T08:17:53.735Z
lio ewa,Nyaman...tapi krn masih pandemi jadi serba hati2,5,2020-10-24T13:19:19.358Z
Susmiyanti Yanti,,5,2020-10-20T05:05:13.331Z
Farida Yuanitha,,5,2020-10-11T16:51:05.984Z
Tangguh Eka W,Ok dan ok..,5,2020-10-11T12:04:09.162Z
Ardiansyah N S,,5,2020-10-07T06:25:00.935Z
Listianti Kahfiana,"Seru sih pertunjukannya.. dan kagum sama orang2 seni, menghibur dan membuat orang senang... pentas bagaikan olahraga hihi sampe lompat2 de ketinggian. Next semoga bisa ke jogja lagi... jadi menambah rasa cinta kepada budaya indonesia..",5,2020-09-30T07:07:53.673Z
Paryono Mdw,Tempat pertunjukan tari tradisional ramayana,4,2020-09-29T22:25:35.778Z
Ayu Dian,,3,2020-09-22T03:04:02.703Z
Irfan Fattah,,5,2020-09-20T06:36:16.686Z
Felix Henry,,5,2020-09-07T04:38:17.353Z
milatinaa,,5,2020-08-14T09:06:22.459Z
stephanus aan,,5,2020-07-25T14:06:53.755Z
Aris Gurfianto,"Sangay disayangkan, sekarang sdh tdk bergungsi.",1,2020-07-09T21:16:29.799Z
Luthfina Khiranitya Zulfahmi,Uwuuww,5,2020-07-08T17:35:07.879Z
Rizkiawan Agung,,5,2020-07-08T08:37:32.548Z
Rizky Napoleon,,5,2020-07-02T13:25:58.594Z
Elsa Galuh,,5,2020-06-23T00:55:44.277Z
BEGAWAN SUJATMIKO,,3,2020-06-10T08:42:57.531Z
dili fajar,,5,2020-06-04T14:28:49.433Z
Muhammad “MJun” Juaini,Belum,5,2020-05-21T18:05:29.138Z
Kiryu Gaming,,4,2020-05-08T07:25:25.260Z
Fransiska Stgg,Keren... Datanglah anda akan terpesona...,5,2020-05-05T12:41:38.319Z
Ervied SE,Suasana redup...bingit,5,2020-04-30T08:23:02.655Z
agustina masito,,4,2020-04-07T23:45:26.006Z
